created_at,repostsnum,proPic,column1,text,original_url,description,comments_count,column,praises_count,source_host,screen_name,floor
2017-1-19 16:1:20,0,,twitter,"#waterfall #cool #backpacking #travel #slomo @ Chengdu, China https://www.instagram.com/p/BPcEDbkjnIE/",https://twitter.com/search?f=tweets&vertical=default&q=chengdu%20travel&src=typd,cardinjesse,0,成都旅游,0,旅游,Jesse Cardin,440
2017-1-19 16:5:10,0,,twitter,"#china #travel #panorama #tourism #culture @ Chengdu, China https://www.instagram.com/p/BPcEfh-jlb7/",https://twitter.com/search?f=tweets&vertical=default&q=chengdu%20travel&src=typd,cardinjesse,0,成都旅游,0,旅游,Jesse Cardin,439
2017-1-19 21:25:1,6,['https://pbs.twimg.com/media/C2iWba2WQAA-jrL.jpg'],twitter,"Man made cities can look nice, but they can never beat the natural beauty created from mother nature  #China #Chengdu #travel #higwanzpic.twitter.com/poDqPope1i",https://twitter.com/search?f=tweets&vertical=default&q=chengdu%20travel&src=typd,Higwanz,0,成都旅游,8,旅游,Frank Higgins,438
2017-1-19 23:19:15,0,,twitter,"Rarrrrrrr! #dragon #china #cool #travel #animals #backpacking #nofilter @ Chengdu, China https://www.instagram.com/p/BPc2K1NjdHW/",https://twitter.com/search?f=tweets&vertical=default&q=chengdu%20travel&src=typd,cardinjesse,0,成都旅游,0,旅游,Jesse Cardin,437
2017-1-20 2:25:38,0,,twitter,#canonphotography #egsphotography #travel #china #children #chengdu #streetphotography @… https://www.instagram.com/p/BPdLf76BEMa/,https://twitter.com/search?f=tweets&vertical=default&q=chengdu%20travel&src=typd,egsparis,0,成都旅游,0,旅游,EGS Photography,436
2017-1-20 5:38:57,0,,twitter,#china #canonphotography #egsphotography #chengdu #streetphotography #travel #turtle #turtles @… https://www.instagram.com/p/BPdhn6nBJJx/,https://twitter.com/search?f=tweets&vertical=default&q=chengdu%20travel&src=typd,egsparis,0,成都旅游,1,旅游,EGS Photography,435
2017-1-20 5:40:6,0,,twitter,#turtles #turtle #travel #streetphotography #chengdu #egsphotography #canonphotography @… https://www.instagram.com/p/BPdhwMsBUpK/,https://twitter.com/search?f=tweets&vertical=default&q=chengdu%20travel&src=typd,egsparis,0,成都旅游,1,旅游,EGS Photography,434
2017-1-20 6:20:22,0,,twitter,"#statue #china #travel #museum #history #art #cool #nofilter @ Chengdu, China https://www.instagram.com/p/BPdmXCUD-uM/",https://twitter.com/search?f=tweets&vertical=default&q=chengdu%20travel&src=typd,cardinjesse,0,成都旅游,0,旅游,Jesse Cardin,433
2017-1-20 8:25:11,0,,twitter,"Eating My Way Through Chengdu, China http://landlopers.com/2016/06/07/eating-chengdu … #travel #Lp #China #Chengdu",https://twitter.com/search?f=tweets&vertical=default&q=chengdu%20travel&src=typd,LandLopers,0,成都旅游,3,旅游,LandLopers,432
2017-1-20 9:4:40,1,['https://pbs.twimg.com/media/C2k2lhVUkAE2MA_.jpg'],twitter,"Peaceful #garden under the #daylight. #Chengdu #city , #China. #Travel to see it all with us. #m_i_chinatravel #nature #naturelovers #viewpic.twitter.com/hxXe1OMb5g",https://twitter.com/search?f=tweets&vertical=default&q=chengdu%20travel&src=typd,m_i_chinatravel,0,成都旅游,7,旅游,Made in China Travel,431
2017-1-20 11:50:32,0,['https://pbs.twimg.com/media/C2lckJoWEAApqCU.jpg'],twitter,Please RT? #travel #traveller Why Chengdu should be your first stop in China &#124; By Katie Lotz http://tinyurl.com/zoyg2zc pic.twitter.com/0lJwQrFl4t,https://twitter.com/search?f=tweets&vertical=default&q=chengdu%20travel&src=typd,DreaminggTravls,0,成都旅游,0,旅游,Travel Magazine,430
2017-1-21 4:28:17,0,,twitter,#canonphotography #egsphotography #chengdu #streetphotography #travel #religion #buddhism @… https://www.instagram.com/p/BPf-VGTB7wd/,https://twitter.com/search?f=tweets&vertical=default&q=chengdu%20travel&src=typd,egsparis,0,成都旅游,0,旅游,EGS Photography,429
2017-1-21 4:29:32,0,,twitter,"Street sight #travel #streetphotography #chengdu #egsphotography @ Chengdu, China https://www.instagram.com/p/BPf-eTkBYGY/",https://twitter.com/search?f=tweets&vertical=default&q=chengdu%20travel&src=typd,egsparis,0,成都旅游,0,旅游,EGS Photography,428
2017-1-21 8:50:9,0,,twitter,"To my surprise, #Chengdu, China is no. 2 of ""under the radar"" cities to visit! Brings back memories when I used to live/work there. #travel https://twitter.com/WSJ/status/822604305135968257 …<a class=""QuoteTweet-link js-nav"" aria-hidden=""true"" href=""/WSJ/status/822604305135968257"" data-conversation-id=""822604305135968257"">
    </a>
    <div tabindex=""0"" class=""QuoteTweet-innerContainer u-cf js-permalink js-media-container"" data-item-type=""tweet"" data-user-id=""3108351"" data-screen-name=""WSJ"" data-item-id=""822604305135968257"" data-conversation-id=""822604305135968257"" href=""/WSJ/status/822604305135968257"">
      <div class=""tweet-content"">
        <div class=""QuoteTweet-authorAndText u-alignTop"">
            
  <div class=""QuoteTweet-originalAuthor u-cf u-textTruncate stream-item-header account-group js-user-profile-link"">
    <b class=""QuoteTweet-fullname u-linkComplex-target"">Wall Street Journal</b><span class=""UserBadges""><span class=""Icon Icon--verified""><span class=""u-hiddenVisually"">认证账号</span></span></span><span class=""UserNameBreak"">&nbsp;</span><span class=""username u-dir"" dir=""ltr""><span class=""at"">@</span>WSJ
    </span>
  </div>

          
          <div class=""QuoteTweet-text tweet-text u-dir"" lang=""en"" dir=""ltr"" data-aria-label-part=""2"">10 under-the-radar vacation destinations <span title=""http://on.wsj.com/2jgQUgC"" class=""twitter-timeline-link"" dir=""ltr"" data-expanded-url=""http://on.wsj.com/2jgQUgC"" target=""_blank"" rel=""nofollow noopener""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">on.wsj.com/2jgQUgC</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible"">&nbsp;</span></span></span></div>
        </div>
      </div>
    </div>",https://twitter.com/search?f=tweets&vertical=default&q=chengdu%20travel&src=typd,allisonwclay,0,成都旅游,1,旅游,Allison Clay,427
2017-1-21 11:30:19,1,,twitter,Visit Chengdu for $527 round trip! http://vancouver.yulair.com/flight/527-chengdu-january-february/7661 … #YVR #yulair #vancouver #travel #Chengdu #China #trip #flight #fare,https://twitter.com/search?f=tweets&vertical=default&q=chengdu%20travel&src=typd,YulairVancouver,0,成都旅游,1,旅游,Yulair Vancouver,426
